lambda,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial,maxiter
4,83.7929145361578,83.6146854111563,86.2500628828835,HTV,10992,0.004,true,0,1,10
4,93.4969774684008,93.5378025244722,93.9542687986479,HTV,10992,0.007,true,0,1,10
4,93.2580141453109,93.2450364794076,93.588520897727,HTV,10992,0.01,true,0,1,10
4,93.4275582573455,94.5053870182472,94.7161537013394,HTV,10992,0.013,true,0,1,10
4,81.208911614317,80.9991874657496,85.5195521461758,HTV,10992,0.004,true,0,2,10
4,91.5094339622642,91.4919347267295,92.0062005832969,HTV,10992,0.007,true,0,2,10
4,92.5323780655828,92.4870065067452,92.6270626045402,HTV,10992,0.01,true,0,2,10
4,94.685456387584,94.6602498803805,94.7187865086722,HTV,10992,0.013,true,0,2,10
4,78.9718772826881,78.8576506654262,81.4815980385473,HTV,10992,0.004,true,0,3,10
4,92.5169444953288,92.5120703072458,93.1772457846666,HTV,10992,0.007,true,0,3,10
4,93.891797556719,93.91565424556,94.0758415380154,HTV,10992,0.01,true,0,3,10
4,92.8985907709312,92.8812316256545,93.0157989588355,HTV,10992,0.013,true,0,3,10
4,83.5281227173119,83.6092205704232,84.6296490778167,HTV,10992,0.004,true,0,4,10
4,89.3845026561641,89.4161415002938,89.5151329175245,HTV,10992,0.007,true,0,4,10
4,93.487645816111,93.5737906983505,93.7220327330344,HTV,10992,0.01,true,0,4,10
4,92.2722667403519,92.3241479251962,92.5550562661169,HTV,10992,0.013,true,0,4,10
4,83.281592403214,83.2166862253244,85.4516253683108,HTV,10992,0.004,true,0,5,10
9,89.4302985894853,89.2624264344478,90.0721595381374,HTV,10992,0.007,true,0,5,10
4,93.2855699458069,93.2743972267303,93.7071150116046,HTV,10992,0.01,true,0,5,10
4,93.1749101961868,93.1594162446813,93.4113219331236,HTV,10992,0.013,true,0,5,10
